Player,Team,Season,Season Type,Games,Personal Fouls PG,Charges Drawn,Off. Fouls Drawn,Off. Fouls,Clear Path Fouls,Defensive 3 Seconds,Shooting Fouls Committed,Lost Ball Fouls,Technical Fouls,Flag. Foul Type 1,Flag. Foul Type 2
Al Horford,Hawks,2015-2016,REG,75,1.89,1,2,12,0,9,96,14,1,0,0
James Jones,Cavaliers,2015-2016,REG,42,1.07,1,2,3,0,0,27,3,1,0,0
Anderson Varejao,"Cavaliers, Warriors",2015-2016,REG,47,1.34,1,11,4,0,0,33,4,1,0,0
Zach LaVine,Timberwolves,2015-2016,REG,74,2.41,1,6,10,1,1,113,2,1,0,0
Sasha Vujacic,Knicks,2015-2016,REG,54,1.26,1,11,3,0,0,40,3,1,0,0
Miles Plumlee,Bucks,2015-2016,REG,53,1.23,2,3,7,0,2,38,5,1,0,1
Joakim Noah,Bulls,2015-2016,REG,29,2.66,1,2,4,0,4,48,8,1,0,0
Victor Oladipo,Magic,2015-2016,REG,66,2.32,10,20,7,0,3,91,2,1,0,0
Cory Joseph,Raptors,2015-2016,REG,72,1.65,1,10,11,1,0,72,5,1,1,0
Terrence Jones,Rockets,2015-2016,REG,49,1.69,0,1,9,0,2,53,4,1,1,0
James Johnson,Raptors,2015-2016,REG,55,1.45,4,4,5,0,0,37,3,0,0,0
Tyler Hansbrough,Hornets,2015-2016,REG,39,1.33,3,5,2,0,2,27,11,0,1,0
Devin Harris,Mavericks,2015-2016,REG,57,1.95,10,24,3,0,2,72,4,0,0,0
Brandon Jennings,"Pistons, Magic",2015-2016,REG,43,1.14,0,5,2,0,0,33,4,0,0,0
Elton Brand,76ers,2015-2016,REG,11,1.91,1,4,0,0,0,14,3,0,0,0
James Harden,Rockets,2015-2016,REG,74,2.86,3,16,40,1,3,116,8,0,3,0
Marvin Williams,Hornets,2015-2016,REG,72,1.61,1,11,16,0,3,58,9,0,0,1
Kris Humphries,"Wizards, Suns, Hawks",2015-2016,REG,46,1.89,2,8,2,0,1,53,8,0,1,0
Ricky Rubio,Timberwolves,2015-2016,REG,68,2.62,8,45,4,0,0,89,3,0,0,0
Richard Jefferson,Cavaliers,2015-2016,REG,67,1.81,0,9,1,2,0,84,2,0,1,0
Darren Collison,Kings,2015-2016,REG,69,1.88,6,15,10,1,1,71,3,0,0,0
Jeff Teague,Hawks,2015-2016,REG,72,2.1,2,8,19,1,0,78,2,0,0,0
Chase Budinger,"Pacers, Suns",2015-2016,REG,59,0.98,2,5,3,0,0,36,3,0,0,0
Dante Cunningham,Pelicans,2015-2016,REG,71,2.11,1,8,4,0,1,93,9,0,0,0
Ty Lawson,"Rockets, Pacers",2015-2016,REG,58,1.29,2,4,2,1,0,37,0,0,0,0
Zach Randolph,Grizzlies,2015-2016,REG,60,2.13,0,3,9,0,4,66,21,0,1,0
Jordan Hill,Pacers,2015-2016,REG,69,2.22,0,1,16,0,1,109,16,0,0,0
Pau Gasol,Bulls,2015-2016,REG,65,2.02,3,7,4,0,3,99,7,0,0,0
Nate Robinson,Pelicans,2015-2016,REG,2,2.5,0,0,0,0,0,1,0,0,0,0
